,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,Sentiment_Class
0,1.0,1.0,1.0,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation, but still ended up with the same result...junk software.",read instal instruct nis nav prior instal end result junk softwar,"['software', 'nis', 'instructions', 'installation']",-1,{'same'},set(),['prior installation'],0
1,1.0,1.0,2.0,Why is it that I can install any other type of software and it installs and works properly?,whi instal ani type softwar instal work proper,"['work', 'software', 'installation']",0,{'other'},set(),[],-1
4,1.0,1.0,5.0,"I have used Norton for the past 5 years and for the last 2 years, the software has gotten more and more disgraceful.",use norton past year year softwar gotten disgrac,"['software', 'past', 'norton']",-1,"{'disgrac', 'more', 'last'}",set(),['past software'],1
5,1.0,1.0,6.0,I am glad that I do not work for Norton.,glad not_work norton,['norton'],-1,{'glad'},set(),[],1
6,1.0,2.0,7.0,I have used Norton products in the past and I am familiar with them.,use norton product past familiar,"['product past', 'norton product', 'product', 'past', 'norton']",0,{'familiar'},set(),['norton products'],1
9,1.0,2.0,10.0,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",thank roxio goback use time,['time'],0,{'thank'},set(),[],0
11,1.0,2.0,12.0,"The MS scandisk would appear due to manual shutdown and would only scan to the 2nd bar, over and over(up to 1 hr, I then shut it down and used GOBACK).",ms scandisk appear manual shutdown onli scan 2nd bar over(up hr shut use goback,[],-1,"{'manual', '2nd'}",set(),[],0
13,1.0,2.0,14.0,I have never had this problem with any other software on my computer.,not_had problem ani softwar comput,"['problems software', 'software computer', 'problems computer', 'software', 'problems', 'computer']",-1,{'other'},set(),[],-1
14,1.0,2.0,15.0,NIS 2003 worked like a charm last year.,nis work like charm year,"['work', 'nis']",1,{'last'},set(),[],0
16,1.0,2.0,17.0,Buying software that can not be installed normally and being put into the position of having a non-working computer.,buy softwar not_b instal normal posit non work comput,"['software computer', 'work', 'software', 'installation', 'computer']",-1,{'non'},set(),[],0
18,1.0,3.0,19.0,"As a loyal customer of Norton/Symantec products, I purchased Internet Security 2004 as a software firewall and could not be any more dissatisfied with the product (and hence the one star rating).",loyal custom norton symantec product purchas internet secur softwar firewal not_b ani dissatisfi product henc star rate,"['norton internet security', 'security software', 'norton security', 'norton product', 'internet software', 'internet security', 'norton internet', 'firewall internet', 'symantec', 'stars', 'software', 'security', 'product', 'norton', 'internet', 'firewall', 'customer']",-1,"{'dissatisfi', 'loyal'}",set(),"['norton products', 'dissatisfied rating', 'symantec products']",1
21,1.0,4.0,22.0,Anti-Spam is Good,anti spam good,[],0,{'good'},set(),[],1
22,1.0,4.0,23.0,The latest of Internet Security has antispam function that is helpful because I has received a mountain of those these days.,latest internet secur antispam function help becaus receiv mountain day,"['internet security', 'security', 'internet', 'help', 'antispam']",0,{'latest'},set(),"['helpful function', 'latest function']",1
23,1.0,4.0,24.0,Other than that it is all the same except the new updates.,new updat,['updates'],-1,"{'other', 'same', 'new'}",set(),[],1
24,1.0,4.0,25.0,But that is good for me because Symantec softwares are a bit hard to master for me who are not savvy on computers.,good becaus symantec softwar bit hard master not_savvi comput,"['software computer', 'symantec', 'software', 'computer']",1,"{'good', 'not_savvi', 'hard'}",set(),['symantec softwares'],1
25,1.0,4.0,26.0,So far I haven't had so much complaints except that I still haven't mastered how to scandisk when using Internet Security.,far not_had complaint not_mast scandisk use internet secur,"['internet security', 'security', 'internet']",-1,{'much'},set(),[],1
26,1.0,5.0,27.0,Too bad the product is cumbersome and intertwined trying to do so much at one time.,bad product cumbersom intertwin tri time,"['time', 'product']",-1,"{'bad', 'cumbersom'}",set(),[],-1
27,1.0,5.0,28.0,Sometimes a suite is not a good deal and all you get is a bundle of headaches.,sometim suit not_a good deal bundl headach,[],-1,{'good'},set(),[],1
28,1.0,6.0,29.0,"I'm not sure why all the bad reviews, my computer isn't especially slowed down and I have Win'98.",m not_sur whi bad review comput not_especi slow win'98,"['reviews', 'computer']",1,"{'bad', 'not_sur'}",set(),[],-1
29,1.0,6.0,30.0,"Sure, it slows it down a little, but that's expected.",sure slow littl expect,[],1,{'littl'},set(),[],0
30,1.0,6.0,31.0,"Perhaps Semantic could work out the efficiency a little, but these reviews are highly exagerated... I would ask what else these people are running on their computers(?)",perhap semant work effici littl review high exager ask els peopl run comput,"['work', 'reviews', 'people', 'computer']",1,"{'exager', 'littl'}",set(),['semantic efficiency'],0
32,1.0,6.0,33.0,"So, if you have a fairly fast computer (1 gig or better) with plenty of ram (512) and your not gaming online or running streaming video continually, you should be fine.",fair fast comput gig better plenti ram not_gam onlin run stream video continu fine,['computer'],0,"{'fast', 'better', 'fine'}",set(),[],1
33,1.0,6.0,34.0,"This is pretty standard for an up to date computer anymore, so what's the fuss?",pretti standard date comput anymor fuss,['computer'],0,{'standard'},set(),[],0
34,1.0,7.0,35.0,I've been using Norton Anti-Virus in its many incarnations for over 5 years.,ve use norton anti virus mani incarn year,"['virus', 'norton']",0,{'mani'},set(),[],0
35,1.0,7.0,36.0,Norton Internet Security 2004 is one of the more buggy implementations.,norton internet secur buggi implement,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet']",-1,"{'more', 'buggi'}",set(),[],1
37,1.0,8.0,38.0,I also reviewed Norton System Works 2004/Professional.,review norton system work profession,"['work', 'system', 'reviews', 'norton']",0,{'profession'},set(),['norton system'],0
38,1.0,8.0,39.0,This product has virtually all the same installation problems.,product virtual instal problem,"['installation problems', 'product', 'problems', 'installation']",-1,{'same'},set(),[],0
39,1.0,8.0,40.0,"For purposes of clarity, here is my review from that product,edited to be appropriate for this product, since, for the most part, they share many of the same problems.",purpos clariti review product edit appropri product sinc share mani problem,"['reviews', 'product', 'problems', 'edition']",-1,"{'same', 'appropri', 'mani', 'most'}",set(),['appropriate problems'],1
41,1.0,8.0,42.0,This is the fourth version of SystemWorks and the second version of Internet Security that I have used and it has always been a favorite.,fourth version systemwork second version internet secur use alway favorit,"['systemworks internet security', 'versions security', 'systemworks security', 'versions internet', 'systemworks internet', 'internet security', 'versions', 'systemworks', 'security', 'internet']",1,"{'fourth', 'second'}",{'fourth'},['second version'],0
42,1.0,8.0,43.0,"It has saved my system on more than one occasion, and makes disc clean up a snap.",save system occas disc clean snap,['system'],0,"{'clean', 'more'}",{'more'},['clean snap'],1
43,1.0,8.0,44.0,"The antivirus feature is phenomenal, and is regularly updated.",antivirus featur phenomen regular updat,"['updates', 'feature', 'antivirus']",0,{'phenomen'},set(),[],0
44,1.0,8.0,45.0,"I think their antivirus software was one of, if not the best, on the",think antivirus softwar not_th best,"['software', 'antivirus']",0,{'best'},set(),[],1
47,1.0,8.0,48.0,"They are a royal pain to install, and don't function properly once finally installed -- if you can install them at all.",royal pain instal not_funct proper onc final instal instal,['installation'],-1,{'royal'},set(),[],0
48,1.0,8.0,49.0,The biggest problem is the installation.,biggest problem instal,"['installation problems', 'problems', 'installation']",-1,{'biggest'},{'biggest'},['biggest installation'],0
52,1.0,8.0,53.0,"First, it serious, serious installation problems.",instal problem,"['installation problems', 'problems', 'installation']",-1,{'serious'},set(),[],-1
55,1.0,8.0,56.0,"To say that it is ""buggy"" would be the world's most profound understatement.",buggi world profound understat,[],0,{'profound'},set(),[],1
59,1.0,8.0,60.0,"The next problem was that it didn't recognize all the installed components, so it would not update them, most notably and importantly, virus definitions.",problem not_recogn instal compon not_upd notabl import virus definit,"['problems virus', 'installation problems', 'virus definitions', 'virus', 'problems', 'installation', 'definitions', 'components']",-1,{'next'},{'next'},[],0
60,1.0,8.0,61.0,"Without this important feature, both SystemWorks and Internet Security are all but useless.",import featur systemwork internet secur useless,"['systemworks internet security', 'systemworks security', 'systemworks internet', 'internet security', 'systemworks', 'security', 'internet', 'feature']",0,"{'import', 'useless'}",set(),[],-1
61,1.0,8.0,62.0,"Without updated virus definiations, your PC is also at serious risk!",updat virus defini pc risk,"['virus', 'updates', 'pc']",0,{'serious'},set(),[],-1
63,1.0,8.0,64.0,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable.",task faster easier prior version found menu navig,['versions'],1,"{'easier', 'prior', 'navig', 'faster'}",set(),[],0
64,1.0,8.0,65.0,"But this doesn't make up for it's innumerable other short-comings, the biggest of which is the inability to download any updates due to problems with LiveUpdate.",doe not_mak innumer short come biggest inabl download ani updat problem liveupd,"['updates', 'problems']",-1,"{'short', 'other', 'biggest', 'innumer'}",set(),[],-1
65,1.0,8.0,66.0,The other annoyance with this that you have to remove every single remnant of previous version of Norton SystemWorks before you installs this.,annoy remov everi singl remnant previous version norton systemwork befor instal,"['versions norton', 'versions', 'systemworks', 'norton', 'installation']",-1,"{'previous', 'other', 'singl'}",{'previous'},['previous version'],-1
66,1.0,8.0,67.0,"Warning! The Windows ""remove program"" feature does not do a good job of this, and neither does Norton's own removal program.",warn window remov program featur doe not_do good job doe norton remov program,"['program norton', 'windows', 'program', 'norton', 'feature']",-1,"{'good', 'own'}",set(),['good job'],1
68,1.0,8.0,69.0,"Their website had a download that helped remove those, although I had to manually remove a good number of files from the ""Programs"" directory.",websit download help remov manual remov good number file program directori,"['website', 'program', 'number', 'help', 'files']",1,{'good'},{'good'},['good files'],1
69,1.0,8.0,70.0,"If you have an older version of ""Internet Security"" installed, you may also need to remove it as well before proceeding with SystemWorks install.",older version internet secur instal need remov befor proceed systemwork instal,"['systemworks internet security', 'versions security', 'systemworks security', 'versions internet', 'systemworks internet', 'internet security', 'versions', 'systemworks', 'security', 'internet', 'installation']",-1,{'older'},{'older'},['older security'],1
70,1.0,8.0,71.0,You also need to go in and MANUALLY remove many Symantec files from the REGISTRY.,need manual remov mani symantec file registri,"['symantec', 'registry', 'files']",-1,{'mani'},set(),['symantec files'],0
73,1.0,8.0,74.0,"As of October, 2004, these products are NOT working and I'm ready to demand a refund from Symantec.",octob product not_work m readi demand refund symantec,"['symantec', 'product']",-1,{'readi'},set(),[],0
74,1.0,8.0,75.0,I just uninstalled SystemWorks and Internet Security for at least the fifth time due to funtionality issues.,uninstal systemwork internet secur fifth time funtion issu,"['systemworks internet security', 'systemworks security', 'systemworks internet', 'internet security', 'time', 'systemworks', 'security', 'internet']",-1,"{'uninstal', 'least', 'fifth'}",{'fifth'},['fifth time'],-1
75,1.0,8.0,76.0,"Once again it won't reinstall, even with online and email assistance from Symantect Technicians.",onc wo not_reinstal onlin email assist symantect technician,['email'],-1,{'onlin'},set(),['online assistance'],0
76,1.0,8.0,77.0,"The best thing to do with this version, is to leave it on the store shelf. It doesn't work, and will cost you an enormous amount of your time, not to mention your hard earned dollars.",best thing version leav store shelf doe not_work cost enorm time not_to mention hard earn dollar,"['versions', 'time', 'thing', 'costs']",-1,"{'enorm', 'best', 'hard'}",{'best'},"['enormous time', 'best version']",1
79,1.0,8.0,80.0,They use to be so useful and neceesary.,use use neceesari,[],0,"{'neceesari', 'use'}",set(),[],0
84,1.0,9.0,85.0,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks.",program bring problem virus albeit not_a major problem not_what expect buck,"['problems virus', 'virus', 'program', 'problems']",-1,"{'major', 'more', 'not_a'}",set(),['major problems'],1
87,1.0,10.0,88.0,"So I e-mailed the online tech support with that simple question, and got a reply which was totally unresponsive (it looked as though they didn't actually read the e-mail and just sent back a few boilerplate paragraphs).",e mail onlin tech support simpl question got repli total unrespons look not_actu read e mail sent boilerpl paragraph,"['tech support', 'tech', 'support']",-1,"{'few', 'simpl', 'onlin', 'unrespons'}",{'online'},['simple question'],-1
88,1.0,10.0,89.0,"And, when you think about it, it's insulting that Norton requires its customers to jump through these hoops -- anyone who can provide proof of purchase, whether on the phone or online (what if your computer is down?), should have equal priority.",think insult norton requir custom jump hoop anyon provid proof purchas phone onlin comput equal prioriti,"['norton', 'customer', 'computer']",-1,{'equal'},set(),['equal priority'],0
89,1.0,10.0,90.0,"I may not be a computer expert but I am perfectly capable of following detailed instructions, and Norton just makes life way too hard.",not_b comput expert perfect capabl follow detail instruct norton life way hard,"['way norton', 'way', 'norton', 'instructions', 'computer']",0,"{'capabl', 'detail'}",set(),['detailed instructions'],0
90,1.0,10.0,91.0,"Plus, when Norton provided online updates, there were so many unexplained categories (about 15 over and above virus definitions)",plus norton provid onlin updat mani unexplain categori abov virus definit,"['virus definitions', 'virus', 'updates', 'norton', 'definitions']",0,"{'unexplain', 'onlin', 'mani'}",set(),"['online updates', 'unexplained categories']",0
91,1.0,10.0,92.0,I was totally baffled.,total baffl,[],0,{'baffl'},set(),[],0
93,1.0,11.0,94.0,The hardest part was the run around with what software suite to buy.,hardest run softwar suit buy,['software'],0,{'hardest'},set(),[],0
95,1.0,11.0,96.0,The only reason I'd buy them separately in the combo package is for two liecenses.,onli reason buy separ combo packag liecens,['package'],0,{'onli'},set(),[],0
96,1.0,11.0,97.0,If you want integrated Antivirus and Firewall this is what I'd suggest.,want integr antivirus firewal suggest,"['firewall antivirus', 'firewall', 'antivirus']",0,set(),{'integrated'},['integrated firewall'],0
97,1.0,11.0,98.0,Norton's memory usage on systems with 512 MB is very low.,norton memori usag system mb veri low,"['system', 'norton', 'memory']",1,{'low'},set(),['norton systems'],0
99,1.0,11.0,100.0,I just got an older 866 Mhz system with 512 PC 133 RAM and it also runs fine on that.,got older mhz system pc ram run fine,"['system', 'pc']",1,{'older'},{'older'},['older mhz'],1
102,1.0,11.0,103.0,The best part of the firewall is the visual backtracking.,best firewal visual backtrack,['firewall'],1,"{'best', 'visual'}",set(),[],1
103,1.0,11.0,104.0,An infected computer tried to launch an attack on mine and I was able to get a map and address of the server.,infect comput tri launch attack abl map address server,['computer'],0,{'abl'},set(),[],0
104,1.0,12.0,105.0,"I had the best intentions when I bought this, I really did.",best intent bought realli,[],0,{'best'},set(),[],1
106,1.0,12.0,107.0,But it caused more headaches than I could imagine.,caus headach imagin,[],0,{'more'},set(),[],1
108,1.0,12.0,109.0,"I don't know what's happened to Norton, but 2004 is absolute garbage.",not_know happen norton absolut garbag,['norton'],-1,{'absolut'},set(),['norton garbage'],0
109,1.0,12.0,110.0,"Apparently, they can't even fix the bugs that have overrun their own site.",appar not_even fix bug overrun site,['site'],0,{'own'},{'own'},[],1
110,1.0,12.0,111.0,The customer support is pathetic.,custom support pathet,"['support', 'customer']",-1,{'pathet'},set(),[],0
111,1.0,13.0,112.0,I have found too many bugs in Norton Internet Security Professional to recommend it to any one without extreme patience and experience.,found mani bug norton internet secur profession recommend ani extrem patienc experi,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet', 'experience']",-1,"{'profession', 'extrem', 'mani'}",set(),[],0
114,1.0,14.0,115.0,"It is buggy, slow and basically frustrates the heck out of the user.",buggi slow basic frustrat heck user,['user'],-1,{'slow'},set(),[],-1
115,1.0,14.0,116.0,"I am an IT professional and have used Norton for years, but this product is a complete and utter dud.",profession use norton year product complet utter dud,"['norton product', 'product', 'norton']",-1,"{'profession', 'utter', 'complet'}",set(),['complete utter'],0
118,1.0,15.0,119.0,The former hogs memory and it takes ages for the computer to start.,hog memori age comput start,"['memory', 'computer']",0,{'former'},set(),[],0
119,1.0,15.0,120.0,Nothing spectacular is done by internet security or by antivirus software.,noth spectacular internet secur antivirus softwar,"['antivirus internet security', 'security software', 'internet software', 'internet security', 'antivirus security', 'antivirus internet', 'software', 'security', 'internet', 'antivirus']",-1,{'spectacular'},set(),['spectacular software'],1
120,1.0,16.0,121.0,Even though I have the parental controls off it constantly starts updating them then freezes my computer.,parent control constant start updat freez comput,"['updates', 'computer']",-1,{'parent'},set(),[],0
123,1.0,17.0,124.0,I have had Norton Internet Security for 3 yrs and up graded to 2004 versionin August 2004.,norton internet secur yrs grade versionin august,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet']",0,{'versionin'},set(),[],0
124,1.0,17.0,125.0,"Now in October,2004, the firewall said I couldn't OK anymore software to use the internet because its full.","october,2004 firewal said not_ok anymor softwar use internet becaus","['internet software', 'firewall internet', 'software', 'internet', 'firewall']",-1,{'full'},set(),[],1
125,1.0,17.0,126.0,Im at full capacity!!!! I called Symantic and they said they don't know why but I should get Tech's Support at $35/hr to help!! I did call them and was on hold for 55 minutes untill I hung up!,m capac symant said not_know whi tech support $ hr help hold minut hung,"['tech support', 'tech minutes', 'tech', 'support', 'minutes', 'help']",-1,"{'symant', 'full'}",set(),[],1
129,1.0,18.0,130.0,"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",littl meaning differ version asid tedius activ process product current buggi problem run clean instal format drive,"['installation problems', 'versions', 'product', 'process', 'problems', 'installation', 'drive']",-1,"{'meaning', 'littl', 'buggi', 'format'}",{'formatted'},"['formatted drive', 'meaningful versions']",0
130,1.0,18.0,131.0,"If you are new to the market and looking to buy a symantec software product, save yourself some money and buy the 2003 version.",new market look buy symantec softwar product save money buy version,"['versions', 'symantec', 'software', 'product', 'money']",-1,{'new'},set(),['symantec product'],1
131,1.0,18.0,132.0,"It included popup and ad blockers, referrer blockers, firewall,  intrusion detection, and all the same things that the 2004 version includes that are really needed.",includ popup ad blocker referr blocker firewal     intrus detect thing version includ realli need,"['versions', 'thing', 'popup', 'firewall']",0,{'same'},set(),[],0
132,1.0,19.0,133.0,"This came PRELOADED on our new, 2.8Mz Pentium 4 256RAM computer.",came preload new 2.8mz pentium 256ram comput,['computer'],0,"{'new', 'preload'}",set(),[],1
133,1.0,19.0,134.0,"From day one, we've had hangups, crashes, glitches, continual reboots, LONG shutdowns due to ""ccApp.exe"" program running which is a Norton program.",day ve hangup crash glitch continu reboot long shutdown ccapp.ex program run norton program,"['program norton', 'program', 'norton']",-1,"{'due', 'continu', 'long'}",set(),['long shutdowns'],-1
134,1.0,19.0,135.0,Long reboots due to Norton taking FOREVER  to boot.,long reboot norton forev     boot,['norton'],-1,"{'due', 'long'}",set(),[],-1
135,1.0,19.0,136.0,"We constantly got ""Windows Virtual Memory Low"" error messages popping up follwed by ridiculous slowdowns and/or crashes.",constant got window virtual memori low error messag pop follw ridicul slowdown and/or crash,"['windows', 'memory', 'error']",-1,"{'virtual', 'low', 'ridicul'}",set(),[],0
136,1.0,19.0,137.0,I don't have one good thing to say.,not_hav good thing,['thing'],0,{'good'},{'good'},[],1
137,1.0,19.0,138.0,I agree with the other reviewer that it doesn't even deserve 1 star.,agre review doe not_even deserv star,"['stars', 'reviews']",0,{'other'},set(),[],-1
138,1.0,19.0,139.0,Norton online support does not even acknowledge this problem nor does the computer company that preloaded it on our new computer.,norton onlin support doe not_even acknowledg problem doe comput compani preload new comput,"['norton problems', 'problems computer', 'support', 'problems', 'norton', 'computer', 'company']",-1,"{'new', 'onlin'}",{'online'},['online support'],1
139,1.0,19.0,140.0,It's a well-known company that I expected more from and spent 2 hours with tech support running all kinds of tests on the computer which of course came back reporting no trouble with the computer.,known compani expect spent hour tech support run kind test comput cours came report not_troubl comput,"['tech support', 'tech', 'support', 'hours', 'computer', 'company']",0,{'more'},set(),[],1
140,1.0,19.0,141.0,The tests were right.,test right,[],0,{'right'},set(),[],1
142,1.0,19.0,143.0,Norton support is completely pathetic.,norton support complet pathet,"['support', 'norton']",-1,{'pathet'},set(),['pathetic support'],0
144,1.0,19.0,145.0,"We were leary to say the least, but decided to give Norton the benefit of the doubt.",leari decid norton benefit doubt,['norton'],0,{'least'},set(),[],-1
145,1.0,19.0,146.0,We'd used Norton products like Internet Security 2003 forever with only rare troubles.,use norton product like internet secur forev onli rare troubl,"['norton internet security', 'norton security', 'norton product', 'internet security', 'norton internet', 'security', 'product', 'norton', 'internet']",0,"{'onli', 'rare'}",set(),"['norton products', 'rare troubles']",1
146,1.0,19.0,147.0,The SystemWorks 2005 seems to be working GREAT!!,systemwork work great,"['work', 'systemworks']",0,{'great'},set(),[],1
147,1.0,19.0,148.0,"We've only had it 2 days, but so far so good.  (WRONG - SEE UPDATE BELOW)",ve onli day far good     wrong updat,['updates'],0,{'good'},set(),[],1
148,1.0,19.0,149.0,I hope it's better than this hunk of junk Internet/AV 2004 package.,hope better hunk junk internet av packag,"['package', 'internet']",0,{'better'},set(),[],1
151,1.0,19.0,152.0,"72 hours later after installing, it started doing the exact same things!",hour later instal start exact thing,"['thing', 'installation', 'hours']",0,"{'exact', 'same'}",set(),[],1
154,1.0,19.0,155.0,We were able to obtain a Norton Corporate Edition of Antivirus only (no firewall or utilities) and so far it's great.,abl obtain norton corpor edit antivirus onli not_firewal util far great,"['norton antivirus', 'norton', 'edition', 'antivirus']",1,"{'great', 'abl', 'corpor'}",set(),"['norton edition', 'corporate edition']",1
155,1.0,19.0,156.0, I've used the Corporate edition at work without any problems ever.,    ve use corpor edit work ani problem,"['work problems', 'work', 'problems', 'edition']",1,{'corpor'},set(),['corporate edition'],0
156,1.0,19.0,157.0,"Unfortunately, you can't buy the corporate edition over the counter.",unfortun not_buy corpor edit counter,['edition'],0,{'corpor'},set(),[],0
157,1.0,19.0,158.0,"If we had been unable to obtain the Corporate edition, we would NOT have purchased another Norton 2004 or 2005 home version anything.",unabl obtain corpor edit not_hav purchas anoth norton home version anyth,"['versions norton', 'home versions', 'home norton', 'versions', 'norton', 'home', 'edition']",-1,"{'corpor', 'unabl'}",set(),['corporate edition'],0
159,1.0,19.0,160.0,HMMMM.. Good luck.,hmmmm good luck,[],0,{'good'},set(),[],1
160,1.0,19.0,161.0,"Our Norton Internet/AV 2004 was terrible right from the get go, so I'd think that if SytemWorks is ok now, it should remain ok.",norton internet av terribl right think sytemwork ok remain ok,"['norton internet', 'norton', 'internet']",-1,"{'terribl', 'ok'}",set(),[],1
163,1.0,19.0,164.0,"By the way, I use the Norton 2003 Corporate at work with absolutely no trouble.",way use norton corpor work absolut not_troubl,"['way norton', 'work', 'way', 'norton']",1,set(),{'corporate'},['norton work'],0
164,1.0,19.0,165.0,"Likewise, I've heard Norton 2004 PROFESSIONAL version is fine too.",likewis ve heard norton profession version fine,"['versions norton', 'versions', 'norton']",1,"{'profession', 'fine'}",{'professional'},['professional version'],1
165,1.0,19.0,166.0,Just the home version of Norton Internet/AV has too many glitches and problems to even remotely bother with.,home version norton internet av mani glitch problem remot bother,"['versions norton', 'norton problems', 'versions internet', 'norton internet', 'home versions', 'home norton', 'versions', 'problems', 'norton', 'internet', 'home']",-1,{'mani'},set(),[],0
166,1.0,19.0,167.0,Trust me and all the other reviews on this one.,trust review,['reviews'],0,{'other'},set(),[],-1
168,1.0,20.0,169.0,So I expected the same level of quality and ease of use with their Internet Security program.,expect level qualiti eas use internet secur program,"['security program', 'internet security', 'internet program', 'security', 'program', 'internet']",0,{'same'},set(),[],0
169,1.0,20.0,170.0,"I am an advanced computer user, so I cannot even imagine how a new or novice user would ever get this terrible program to work!",advanc comput user not_even imagin new novic user terribl program work,"['program computer', 'work', 'user', 'program', 'computer']",-1,"{'advanc', 'terribl', 'new'}","{'terrible', 'advanced'}",['terrible work'],-1
170,1.0,20.0,171.0,"After installing, the system froze trying to restart (this is a new computer with Windows XP Home).",instal system froze tri restart new comput window xp home,"['home computer', 'windows', 'system', 'installation', 'home', 'computer']",0,{'new'},set(),['new windows'],1
171,1.0,20.0,172.0,"After finally restarting, the ""automatic updates"" ran.",final restart automat updat ran,['updates'],0,{'automat'},set(),[],0
173,1.0,20.0,174.0,"Seems the ""program scan"" feature did NOT find the EXE file for Outlook!",program scan featur not_find exe file outlook,"['program', 'outlook', 'files', 'feature']",-1,{'scan'},set(),[],0
174,1.0,20.0,175.0,"It did find Outlook Express, but that's not what I use.",find outlook express not_what use,['outlook'],0,{'not_what'},set(),[],0
176,1.0,20.0,177.0,"Like most of their solutions (which first blame other applications for errors), the tech persons line was that this was probably a Microsoft error - it was NOT.",like solut blame applic error tech person line probabl microsoft error,"['tech', 'error']",-1,"{'other', 'most'}",set(),[],1
178,1.0,20.0,179.0,"After a recent update, I can no longer open more then 1 browser window.",recent updat not_long open browser window,"['windows', 'updates']",-1,"{'recent', 'more'}",set(),['recent update'],1
179,1.0,20.0,180.0,I've searched the program and their online tech support (worthless) and have found no solutions.,ve search program onlin tech support worthless found not_solut,"['tech support', 'tech', 'support', 'program']",-1,"{'worthless', 'onlin'}","{'online', 'worthless'}",[],-1
180,1.0,20.0,181.0,"Again, I tried online email support.",tri onlin email support,"['support', 'email']",0,{'onlin'},{'online'},['online support'],0
181,1.0,20.0,182.0,They gave me a ridiculous set of steps which included emailing them screen prints as PDF files!,gave ridicul set step includ email screen print pdf file,"['files', 'email']",0,{'ridicul'},set(),[],0
182,1.0,20.0,183.0,I use the program like most other people - in DISABLED mode.,use program like peopl disabl mode,"['program', 'people']",0,"{'other', 'most', 'disabl'}",set(),['disabled mode'],1
183,1.0,20.0,184.0,Eventually I will uninstall this troublesome bug-filled program.,eventu uninstal troublesom bug fill program,['program'],0,{'troublesom'},"{'troublesome', 'filled'}",[],1
187,1.0,22.0,188.0,I recommended this for my father based on my experience with previous versions.,recommend father base experi previous version,"['versions', 'experience']",0,{'previous'},set(),[],-1
190,1.0,23.0,191.0,"Some of the options are confusing, especially when the popup warnings occur, but I've had no problems with intrusions.",option confus especi popup warn occur ve not_problem intrus,['popup'],1,{'confus'},set(),[],0
191,1.0,23.0,192.0,Norton pops up a window about the intrusions and gives me as much detail as possible about where the intrusion is coming from.,norton pop window intrus detail possibl intrus come,"['windows', 'norton']",1,"{'much', 'possibl'}",set(),['possible intrusion'],1
193,1.0,24.0,194.0,"Product is OK; however, despite the fact that I followed the rebate instructions explicitly, I am being denied the rebate because the processing agency incorrectly claims I did not send in proof of ownership of a previous product.",product ok howev despit fact follow rebat instruct explicit deni rebat becaus process agenc incorrect claim not_send proof ownership previous product,"['product', 'process', 'instructions']",0,"{'previous', 'ok'}",set(),[],1
194,1.0,24.0,195.0,Not much recourse for the consumer in these cases.,not_much recours consum case,[],0,{'not_much'},set(),[],0
195,1.0,25.0,196.0,I didn't have any major problems installing this software.,not_hav ani major problem instal softwar,"['problems software', 'installation problems', 'software', 'problems', 'installation']",1,{'major'},set(),[],1
196,1.0,25.0,197.0,"The only problem I had was a few components didn't quite load correctly upon startup, but a reboot fixed the problem.",onli problem compon not_quit load correct startup reboot fix problem,"['problems', 'components']",-1,"{'onli', 'few'}",{'only'},[],-1
