,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,Sentiment_Class
197,1.0,25.0,198.0,"I had NIS 2003 and was very happy with it; this new version really doesn't seem to offer a lot of exciting new features, seems merely the same as 2003 dressed-up to look like a new version.",nis veri happi new version realli doe not_seem offer lot excit new featur mere dress look like new version,"['versions', 'nis', 'lot', 'feature']",0,"{'happi', 'new', 'same', 'excit'}",{'new'},"['new version', 'exciting features']",1
199,1.0,25.0,200.0,I give it 4-stars only because the installation process - or rather problems that may surface during the installation process - can be frustrating to the average computer user.,star onli becaus instal process problem surfac dure instal process frustrat averag comput user,"['installation problems', 'problems computer', 'user', 'stars', 'process', 'problems', 'installation', 'computer']",-1,"{'averag', 'frustrat'}",{'average'},['frustrating user'],-1
201,1.0,25.0,202.0,Can't get easier than that!,not_get easier,[],-1,{'easier'},set(),[],0
203,1.0,25.0,204.0,"I already knew something was wrong, because much of the Spam I've seen in the past six months was from resellers of Norton products.",alreadi knew someth wrong becaus spam ve seen past month resel norton product,"['product past', 'norton product', 'product', 'past', 'norton', 'months']",-1,"{'much', 'wrong'}",set(),"['norton products', 'past months']",-1
204,1.0,25.0,205.0,For Norton to encourage Spammers by letting them sell their products is a very bad sign.,norton encourag spammer let sell product veri bad sign,"['norton product', 'product', 'norton']",0,{'bad'},set(),['bad sign'],-1
205,1.0,26.0,206.0,"Well, I must be one of the few fortunate ones on here.",fortun,[],0,"{'fortun', 'few'}",set(),[],-1
207,1.0,26.0,208.0,Seems to work great.,work great,['work'],1,{'great'},set(),[],1
208,1.0,26.0,209.0,Sorry to hear about all the other folk's problems....makes me wonder why I'm NOT having any (I'm running Win XP as well).,sorri hear folk problem wonder whi m not_hav ani m run win xp,['problems'],0,"{'sorri', 'other'}",set(),[],-1
210,1.0,27.0,211.0,"I read many reviews on Norton I.S. 2004 from a variety of sources (Cnet, Amazon, message boards) and came to the conclusion that NIS 04 was a terrible product and not worth the update.",read mani review norton i.s . varieti sourc cnet amazon messag board came conclus nis terribl product not_worth updat,"['norton product', 'updates', 'reviews', 'product', 'norton', 'nis', 'amazon']",-1,"{'terribl', 'mani'}",{'terrible'},[],-1
212,1.0,27.0,213.0,There was a Verisign problem that conflicted w/Word and Excel and was posted on the Symantec site that affected computers.,verisign problem conflict w word excel post symantec site affect comput,"['problems computer', 'symantec', 'site', 'problems', 'computer']",0,{'verisign'},{'verisign'},['symantec site'],0
215,1.0,27.0,216.0,All of a sudden everything that reviewers were writing about NIS 2004 was happening to my computer.,sudden everyth review write nis happen comput,"['nis computer', 'reviews', 'nis', 'computer']",0,{'sudden'},set(),['sudden reviewers'],0
218,1.0,27.0,219.0,My file log was not responding and the program was not blocking any cookies or unauthorized sites.,file log not_respond program not_block ani cooki unauthor site,"['site', 'program', 'files']",-1,{'unauthor'},set(),['unauthorized program'],0
219,1.0,27.0,220.0,After extensive researching on the Symantec site I broke down and called Symantec.,extens research symantec site broke symantec,"['symantec', 'site']",0,{'extens'},set(),['symantec site'],0
220,1.0,27.0,221.0,"Again, every review written about the Tech Line is true...after waiting close to 45 minutes I finally spoke to a rep.",everi review written tech line true wait close minut final spoke rep,"['tech minutes', 'tech', 'reviews', 'minutes']",-1,{'true'},set(),[],1
222,1.0,27.0,223.0,After telling the rep and his tech supervisor the problem the only answer was to uninstall the program (which I had already done)...,tell rep tech supervisor problem onli answer uninstal program alreadi,"['tech', 'program', 'problems']",-1,{'onli'},set(),[],0
223,1.0,27.0,224.0,They sent me a link to their website to follow instructions on ridding my registry of all Symantec products so I could get a clean re-install.,sent link websit follow instruct rid registri symantec product clean instal,"['website', 'symantec', 'registry', 'product', 'instructions', 'installation']",0,{'clean'},set(),['symantec products'],1
225,1.0,27.0,226.0,They said to call back if it still didn't work after the complete uninstall.,said not_work complet uninstal,[],0,{'complet'},set(),[],0
226,1.0,27.0,227.0,I did it and it was worse the second time around...unbelievable.,wors second time unbeliev,['time'],-1,"{'wors', 'unbeliev', 'second'}",{'second'},[],0
229,1.0,28.0,230.0,NIS is a package of several Norton products.,nis packag sever norton product,"['norton product', 'product', 'package', 'norton', 'nis']",0,{'sever'},set(),[],0
230,1.0,28.0,231.0,"Unfortunately, it does not give you the option of unstalling (or uninstalling) them individually.",unfortun doe not_giv option unstal uninstal individu,[],-1,{'uninstal'},set(),[],0
231,1.0,28.0,232.0,If you get NIS be sure you want ALL of them installed and running on your machine.,nis sure want instal run machin,"['nis', 'installation']",0,{'sure'},set(),[],1
232,1.0,28.0,233.0,"You can ""disable"" some of the individual components, but don't be fooled--they're still there and running.",disabl individu compon not_b fool run,['components'],-1,{'individu'},set(),[],0
240,1.0,28.0,241.0,"Next, the big reason not to buy ANY Norton product:  If there's a problem with it, Norton charges $30 to even tell them about it.",big reason not_to buy ani norton product     problem norton charg $ tell,"['norton product', 'norton problems', 'product', 'problems', 'norton']",-1,{'big'},set(),['norton product'],0
241,1.0,28.0,242.0,"Sure they say if it's their fault you won't get charged, but THEY are the ones who get to decide whether it's their fault.",sure fault wo not_get charg decid fault,[],-1,{'sure'},set(),[],1
243,1.0,28.0,244.0,Nice little racket they've got there.,nice littl racket ve got,[],0,"{'nice', 'littl'}",set(),[],1
245,1.0,29.0,246.0,"While it didn't have all the features I would have liked, it was better than anything else I could find at the time.",not_hav featur like better anyth els find time,"['time', 'feature']",1,{'better'},set(),[],1
246,1.0,30.0,247.0,The problems I had installing Norton extended way beyond what Symantec should reasonably expect the public to deal with.,problem instal norton extend way symantec reason expect public deal,"['way norton', 'norton problems', 'installation problems', 'way', 'symantec', 'problems', 'norton', 'installation']",-1,set(),{'extended'},['extended way'],0
247,1.0,30.0,248.0,"When I purchase software, I NEVER want to have to spend hours looking up solutions to my install problems -- in particular solutions that involve manually setting driver preferences or editing the registry!",purchas softwar not_want spend hour look solut instal problem particular solut involv manual set driver prefer edit registri,"['problems software', 'installation problems', 'software', 'registry', 'problems', 'installation', 'hours', 'edition']",-1,"{'not_want', 'particular'}",set(),[],1
248,1.0,31.0,249.0,This is a very full featured product.,veri featur product,"['product', 'feature']",0,{'full'},{'full'},[],1
251,1.0,31.0,252.0,And the firewall came with a wizard which made it effortless to configure it to my LAN.,firewal came wizard effortless configur lan,['firewall'],1,{'effortless'},set(),[],0
252,1.0,32.0,253.0,"I downloaded this set from Norton, and within minutes my Internet connection failed and my PC was almost dead due to registry problems from the download.",download set norton minut internet connect fail pc dead registri problem download,"['norton problems', 'pc internet', 'norton internet', 'registry', 'problems', 'pc', 'norton', 'minutes', 'internet']",-1,{'dead'},set(),['dead problems'],-1
253,1.0,32.0,254.0,I was forced to re-format the next day due to extensive incapatability issues.,forc format day extens incapat issu,[],0,"{'extens', 'next'}",set(),[],0
254,1.0,32.0,255.0,I lost all my personal info.,lost person info,[],0,{'person'},set(),[],0
255,1.0,32.0,256.0,Their site offers no live help at all.,site offer not_liv help,"['site', 'help']",-1,{'not_liv'},{'not live'},['not_live help'],-1
256,1.0,32.0,257.0,"I tried to call Norton, and the only numbers they list on their sites are either for Non-tech Customer Service (tried this one and hung up after 75 minute of MUZAC) or they have a $30 tech-support number.",tri norton onli number list site non tech custom servic tri hung minut muzac $ tech support number,"['tech support', 'tech minutes', 'tech', 'support', 'site', 'service', 'number', 'norton', 'minutes', 'customer']",-1,"{'onli', 'non', '-'}",set(),"['norton numbers', 'hung minute']",0
258,1.0,32.0,259.0,"I finally got a free support number for Norton through my ISP support staff, but waited an hour or more for a voice.",final got free support number norton isp support staff wait hour voic,"['support', 'number', 'norton', 'hours']",-1,"{'free', 'more'}",{'free'},"['norton isp', 'free staff']",1
259,1.0,32.0,260.0,"They said they would refund all the money, but a month later, they tell me now the back-up disc is not refundable as its cost is purely handling and shipping - $15 to ""handle"" and ship a CD? --and they have been indignant and combative on the phone and in emails.",said refund money month later tell disc not_refund cost pure handl ship $ handl ship cd --and indign combat phone email,"['months', 'money', 'email', 'costs']",-1,"{'indign', 'combat', 'not_refund'}",set(),['not_refundable cost'],0
260,1.0,32.0,261.0,This is a terrible company with a bad product and awful support.,terribl compani bad product aw support,"['support', 'product', 'company']",-1,"{'terribl', 'bad', 'aw'}","{'awful', 'bad'}",['awful support'],-1
261,1.0,32.0,262.0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful.",year download mccaffe product support answer quick free veri help,"['support', 'product', 'help']",-1,{'free'},set(),[],1
262,1.0,32.0,263.0,"No problems now, just a sickly disappointment in the way Norton has abandoned thier customers.",not_problem sick disappoint way norton abandon thier custom,"['way norton', 'way', 'norton', 'customer']",-1,{'sick'},set(),['sickly disappointment'],-1
263,1.0,32.0,264.0,"I see many other reviews that say the same....stay away from Norton, they don't deserve you, or anyone!",mani review stay away norton not_deserv anyon,"['reviews', 'norton']",-1,"{'other', 'same', 'mani'}",set(),[],-1
265,1.0,32.0,266.0,"While I understand the complaints about Symantec's Norton SystemWorks software suite (which are totally justified), the same can't be said for Norton Internet Security.",understand complaint symantec norton systemwork softwar suit total justifi not_b said norton internet secur,"['systemworks internet security', 'norton internet security', 'systemworks security', 'security software', 'norton security', 'systemworks internet', 'internet software', 'internet security', 'norton internet', 'systemworks', 'symantec', 'software', 'security', 'norton', 'internet']",0,"{'justifi', 'same'}",set(),[],0
266,1.0,32.0,267.0,"It's a highly rated, KICK ASS firewall program that's bundled with the venerable Norton AntiVirus, plus extras (like Norton AntiSpam & Norton Parental Control) that make this security suite a must-have for people who have broadband internet access.",high rate kick ass firewal program bundl vener norton antivirus plus extra like norton antispam norton parent control secur suit peopl broadband internet access,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'security program', 'norton security', 'program norton', 'internet security', 'internet program', 'norton internet', 'firewall internet', 'antivirus security', 'antivirus program', 'norton antivirus', 'antivirus internet', 'firewall antivirus', 'security', 'program', 'people', 'norton', 'internet', 'firewall', 'antivirus', 'antispam']",1,"{'vener', 'parent'}",{'venerable'},"['norton suite', 'parental control']",0
267,1.0,32.0,268.0,Detractors should spend more time actually customizing the program to meet their needs instead of being lazy & complaining just for the hell of it.,detractor spend time actual custom program meet need instead lazi complain hell,"['time program', 'time', 'program', 'customer']",0,"{'more', 'lazi'}",{'more'},[],1
270,1.0,33.0,271.0,"If you are already using a previous version of nortron security and unistalled it to install the new version, you will still have all kind of problems in installing the new version on your system!",alreadi use previous version nortron secur unistal instal new version kind problem instal new version system,"['versions security', 'security system', 'installation problems', 'versions', 'system', 'security', 'problems', 'installation']",-1,"{'previous', 'new'}",{'previous'},[],-1
271,1.0,33.0,272.0,It seems like Symantec did a lousy job on this version.,like symantec lousi job version,"['versions', 'symantec']",0,{'lousi'},set(),['symantec version'],0
272,1.0,33.0,273.0,"Luckly,with 3 rebates this product will cost me nothing! it is indeed worth nothing.",luck rebat product cost noth inde worth noth,"['product', 'costs']",1,{'worth'},set(),['luckly rebates'],1
273,1.0,33.0,274.0,"To install that version you have to uninstall from the window registery anything called Symantec or Nortron,... also from the common files in the program folder the symantec folder has to be deleted.",instal version uninstal window registeri anyth symantec nortron common file program folder symantec folder delet,"['windows', 'versions', 'symantec', 'program', 'installation', 'folder', 'files']",-1,{'common'},set(),"['symantec nortron', 'common files']",-1
274,1.0,33.0,275.0,"If you got stuck do what I did,search for any folder called symantec and delete it! then install that program(assuming you know what you are doing).",got stuck search ani folder symantec delet instal program(assum know,"['symantec', 'installation', 'folder']",0,{'stuck'},set(),['symantec install'],0
275,1.0,33.0,276.0,"If you have no previous version of  nortron security on your system, or Nortron Antivirus, the installation will go fine, otherwise dig in and in to do a major registery clean up!the old programs will leave a trace that will mess up the new installation, even if you uninstalled the old programs perfectly.",not_previ version     nortron secur system nortron antivirus instal fine otherwis dig major registeri clean up!th old program leav trace mess new instal uninstal old program perfect,"['versions security', 'security system', 'security program', 'antivirus security', 'antivirus program', 'versions', 'system', 'security', 'program', 'installation', 'antivirus']",-1,"{'major', 'not_previ', 'clean', 'old', 'new'}",{'not previous'},[],1
276,1.0,33.0,277.0,"What dissapointes me the most that a software like that  is not cheap gets zero support form symantec, if you want support, they'll charge you a Fee!",dissapoint softwar like     not_cheap zero support form symantec want support ll charg fee,"['symantec', 'support', 'software']",-1,{'most'},set(),[],1
277,1.0,33.0,278.0,I've tried the free versions of zone alarm and the free version of sygate and they both have a nice and easy installation and work great!.,ve tri free version zone alarm free version sygat nice easi instal work great,"['work', 'versions', 'installation', 'alarm']",1,"{'nice', 'easi', 'great', 'free'}",{'free'},['free version'],1
278,1.0,33.0,279.0,"Next year when I purchase a 2005 FireWall version, I am buying the Zone Alarm or the sygate one.",year purchas firewal version buy zone alarm sygat,"['versions', 'firewall', 'alarm']",0,{'next'},set(),[],0
282,1.0,34.0,283.0,"THEN all of a sudden when I restarted my pc, I couldn't get to anything in IE.",sudden restart pc not_get anyth ie,['pc'],0,{'sudden'},set(),['sudden not_get'],0
283,1.0,34.0,284.0,I have gone to their site many times in the last two months looking for an answer.,gone site mani time month look answer,"['time', 'site', 'months']",0,"{'last', 'mani'}",set(),[],0
286,1.0,34.0,287.0,The only free help you get is in renewing your subscription!,onli free help renew subscript,"['subscription', 'help']",1,"{'onli', 'free'}","{'only', 'free'}",[],1
287,1.0,34.0,288.0,The only way my pc internet works is if I open the Firewall Program configuration and manually refresh it.,onli way pc internet work open firewal program configur manual refresh,"['internet program', 'pc internet', 'firewall internet', 'work', 'way', 'program', 'pc', 'internet', 'firewall']",-1,{'onli'},{'only'},[],0
288,1.0,34.0,289.0,It's become tedious doing this.,becom tedious,[],0,{'tedious'},set(),[],-1
292,1.0,35.0,293.0,"I read how the buyers of this product watched their computers turn into processing sloths, bought a copy and watched my 2.4 Gig XP Pro processor slow down below the level of my 750 Meg 2000Pro laptop!",read buyer product watch comput turn process sloth bought copi watch 2.4 gig xp pro processor slow level meg 2000pro laptop,"['product', 'process', 'laptop', 'computer']",0,"{'slow', 'pro'}",{'2000pro'},"['slow level', 'pro level']",-1
293,1.0,35.0,294.0,At the same time I bought PC-Cillin for the laptop and what a slick product!,time bought pc cillin laptop slick product,"['time', 'product', 'pc', 'laptop']",0,"{'same', 'slick'}","{'same', 'slick'}",['slick product'],-1
299,1.0,36.0,300.0,"No more banner ads, pop-ups, and the reliable antivirus.",not_mor banner ad pop reliabl antivirus,['antivirus'],1,{'reliabl'},{'reliable'},[],0
300,1.0,36.0,301.0,"I work on word, explorer, netscape, acrobat reader, photoshop at same time (meaning using a lot of memory), but still dont see a problem with computer (getting slow or crashing).",work word explor netscap acrobat reader photoshop time mean use lot memori nt problem comput slow crash,"['work problems', 'problems computer', 'work', 'time', 'problems', 'memory', 'lot', 'computer']",1,"{'slow', 'same'}",{'same'},[],-1
302,1.0,36.0,303.0,This product is way cooler than anything Ive used before (PcCillins and McCafees and Norton Antivirus alone).,product way cooler anyth ve use befor pccillin mccafe norton antivirus alon,"['way norton', 'norton product', 'norton antivirus', 'way', 'product', 'norton', 'antivirus']",1,{'cooler'},set(),[],0
304,1.0,37.0,305.0,I've had the last 3 versions of NIS.,ve version nis,"['versions', 'nis']",0,{'last'},set(),[],0
305,1.0,37.0,306.0,All in all it hasn't been a bad product.,not_been bad product,['product'],1,{'bad'},{'bad'},[],-1
306,1.0,37.0,307.0,"However, Symantec has taken a significant turn for the worse with this release.",howev symantec taken signific turn wors releas,['symantec'],-1,"{'wors', 'signific'}",set(),['significant turn'],0
307,1.0,38.0,308.0,"While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system.",effect firewal come norton antivirus m actual fond secur suit signific slow system,"['norton antivirus security', 'security system', 'norton security', 'antivirus security', 'norton antivirus', 'firewall antivirus', 'system', 'security', 'norton', 'firewall', 'antivirus']",0,"{'fond', 'effect'}",set(),"['fond suite', 'effective firewall']",0
308,1.0,38.0,309.0,"I'm currently using a Sony Vaio S-150 (which I bought at the end of this past August), and it takes about five minutes just to boot the system - in fact, I've taken to just hibernating, rather than shutting down completely.",m current use soni vaio s-150 bought end past august minut boot system fact ve taken hibern shut complet,"['system', 'past', 'minutes']",-1,{'s-150'},set(),[],0
309,1.0,38.0,310.0,"The Antivirus is good, but ""Internet Security"" just isn't worth it.",antivirus good internet secur not_worth,"['antivirus internet security', 'internet security', 'antivirus security', 'antivirus internet', 'security', 'internet', 'antivirus']",1,{'good'},set(),[],1
310,1.0,39.0,311.0,"I've owned many Norton products in my time, and for the most part, I've been pleased with their performance.",ve mani norton product time ve pleas perform,"['norton product', 'time', 'product', 'norton']",1,"{'pleas', 'most', 'mani'}",set(),['norton products'],1
312,1.0,39.0,313.0,I've seen many reviews praising 2003 and cursing 2004.,ve seen mani review prais curs,['reviews'],0,{'mani'},set(),[],0
313,1.0,39.0,314.0,"I upgraded from NIS 2003, and the change in performance has not been noticeable.",upgrad nis chang perform not_been notic,['nis'],1,{'notic'},set(),['noticeable not_been'],0
314,1.0,39.0,315.0,"On the contrary, I'm quite pleased with my upgrade.",contrari m quit pleas upgrad,[],1,{'pleas'},set(),[],0
315,1.0,39.0,316.0,It works better and has more useful features than NIS 2003.,work better use featur nis,"['work', 'nis', 'feature']",1,{'use'},set(),['useful features'],0
316,1.0,40.0,317.0,I bought this product after reading the Editor's Choice article at PC Magazine and had a great experience with Amazon (as usual).,bought product read editor choic articl pc magazin great experi amazon usual,"['product', 'pc', 'experience', 'amazon']",0,"{'usual', 'great'}",set(),['great experience'],1
317,1.0,40.0,318.0,"The program is fully featured, with much of what you'd want from a security program --",program fulli featur want secur program,"['security program', 'security', 'program', 'feature']",1,{'much'},set(),[],1
318,1.0,40.0,319.0,I was upgrading from a version of Norton Anti-virus that was about a year old in order to get spam and pop-up control.,upgrad version norton anti virus year old order spam pop control,"['versions norton', 'virus', 'versions', 'norton']",0,{'old'},set(),['old order'],1
319,1.0,40.0,320.0,My previous experience with multiple Symantec/Norton products has been good.,previous experi multipl symantec norton product good,"['norton product', 'symantec', 'product', 'norton', 'experience']",0,"{'good', 'previous', 'multipl'}",set(),"['norton products', 'symantec products']",1
320,1.0,40.0,321.0,"The installation, set-up, and operating interfaces are well organized and intuitive and the email spam component works well.",instal set oper interfac organ intuit email spam compon work,"['work', 'installation', 'email', 'components']",1,"{'intuit', 'organ'}",set(),['intuitive component'],0
321,1.0,40.0,322.0,"HOWEVER, I AM VERY DISAPPOINTED WITH THIS PRODUCT AND WITH SYMANTEC.",howev veri disappoint product symantec,"['symantec', 'product']",-1,{'disappoint'},set(),['disappointed symantec'],0
322,1.0,40.0,323.0,"It feels like I'm back to the days of 56k dial-up internet service, even though I'm running a Dell 2GHz Pentium 4 with 256MB memory and have had excellent broadband service for the past year.",feel like m day 56k dial internet servic m run dell 2ghz pentium mb memori excel broadband servic past year,"['service', 'past', 'memory', 'internet']",-1,{'excel'},set(),['excellent service'],0
323,1.0,40.0,324.0,"I tried disabling the various components provided with this product, paring it all the way back to anti-virus only service... and saw no improvement.",tri disabl compon provid product pare way anti virus onli servic saw not_improv,"['way', 'virus', 'service', 'product', 'components']",-1,"{'onli', 'various'}",set(),[],0
324,1.0,40.0,325.0,There is absolutely nothing useful at the Symantec/Norton site.,absolut noth use symantec norton site,"['symantec', 'site', 'norton']",-1,{'use'},set(),"['norton site', 'symantec site']",0
325,1.0,40.0,326.0,I am going to uninstall this and stick with my old version until they offer a fix or until I can find a program from another vendor.,uninstal stick old version offer fix find program anoth vendor,"['versions', 'program']",0,{'old'},{'old'},['old offer'],1
326,1.0,40.0,327.0,"I purchased this even though I saw some disparaging reviews at the Amazon site, trusting PC Magazine to get it right.",purchas saw disparag review amazon site trust pc magazin right,"['site', 'reviews', 'pc', 'amazon']",0,{'right'},set(),[],1
327,1.0,40.0,328.0,"However, I suspect that many people are having a bad experience -- DO NOT PURCHASE THIS PRODUCT.",howev suspect mani peopl bad experi not_purchas product,"['product', 'people', 'experience']",-1,"{'bad', 'mani'}",set(),['bad experience'],-1
328,1.0,41.0,329.0,PIII 1Ghz 512MB RDRAM Windows XP Pro 80GB HD  I was able to Uninstall NIS 2003 and Install NIS 2004 with no trouble.,piii 1ghz mb rdram window xp pro gb hd     abl uninstal nis instal nis not_troubl,"['windows', 'nis', 'installation']",1,{'abl'},set(),[],0
333,1.0,41.0,334.0,"After that was complete, I deleted the Norton Antivirus and Norton Internet Security folders left in the ""Programs"" section of Windows XP.",complet delet norton antivirus norton internet secur folder left program section window xp,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'security program', 'norton security', 'program norton', 'internet security', 'internet program', 'norton internet', 'antivirus security', 'antivirus program', 'norton antivirus', 'antivirus internet', 'windows', 'security', 'program', 'norton', 'internet', 'folder', 'antivirus']",0,{'complet'},set(),['complete folders'],0
334,1.0,41.0,335.0,Next I de-fragged my hard drive.,de frag hard drive,['drive'],0,{'hard'},{'hard'},[],-1
335,1.0,41.0,336.0,"I did not use the Rnis.exe, since I have WinFax Pro on my system. I did not touch the Windows Registry, for the same reason.",not_us rnis.ex sinc winfax pro system not_touch window registri reason,"['windows', 'system', 'registry']",0,{'same'},set(),[],0
336,1.0,41.0,337.0,"I installed, activated and registered NIS 2004 without issue.",instal activ regist nis issu,"['nis', 'installation']",1,set(),{'activated'},[],0
337,1.0,41.0,338.0,"So far, the Anti-Spam feature seems to be very good.",far anti spam featur veri good,['feature'],1,"{'good', 'spam', 'anti'}",set(),[],1
338,1.0,42.0,339.0,"I ain't no computer geek, but I can wrestle with the best of them.",ai not_no not_comput geek wrestl best,[],0,{'best'},set(),[],1
339,1.0,42.0,340.0,This program would not let me send Outlook Email or listen to Audible sample books online.,program not_let send outlook email listen audibl sampl book onlin,"['program', 'outlook', 'email']",-1,{'audibl'},set(),['audible books'],0
341,1.0,42.0,342.0,Buy this if you like mental challenges or trying how to pick locks.,buy like mental challeng tri pick lock,[],-1,{'mental'},set(),[],-1
342,1.0,42.0,343.0,For security buy Zone Alarm. It's a very friendly program.,secur buy zone alarm veri friend program,"['security program', 'security', 'program', 'alarm']",0,{'friend'},{'friendly'},['friendly program'],1
343,1.0,43.0,344.0,I was begining to think I was computer-retarded after dealing with this program.,begin think comput retard deal program,"['program computer', 'program', 'computer']",0,{'retard'},set(),[],-1
345,1.0,43.0,346.0,"I had much of the same problems that everyone else has listed (mainly the SLOOOOOOOOOW processor), and then I couldn't get the damn thing off my computer completely!",problem everyon els list main slooooooooow processor not_get damn thing comput complet,"['problems computer', 'thing', 'problems', 'computer']",-1,"{'damn', 'same', 'much'}",{'damn'},['damn computer'],1
346,1.0,43.0,347.0,"I decided to give it one last chance... so I formatted my hard drive, reinstalled Windows XP (which also required a day & night download/install of SP2 on dial-up) and put NIS2004 back onto the computer.",decid chanc format hard drive reinstal window xp requir day night download instal sp2 dial nis2004 comput,"['windows', 'installation', 'drive', 'computer']",0,"{'last', 'hard'}",{'hard'},['hard windows'],-1
348,1.0,43.0,349.0,"Blessedly, my DSL was installed just about this time and I set up a wireless network with my desktop.",bless dsl instal time set wireless network desktop,"['time', 'installation']",0,{'wireless'},set(),['wireless network'],0
349,1.0,43.0,350.0,"So when I reformatted for the third time, downloading SP2 took no time at all and the new XP was kind enough to even suggest other antivirus programs to try (it also listed Norton and McAffee).",reformat time download sp2 took not_tim new xp kind suggest antivirus program tri list norton mcaffe,"['time program', 'program norton', 'antivirus program', 'norton antivirus', 'time', 'program', 'norton', 'antivirus']",0,"{'third', 'kind', 'new', 'other'}",{'third'},['new kind'],1
354,1.0,44.0,355.0,"About a month ago, it had an error that I could not fix and the program would not update.",month ago error not_fix program not_upd,"['program', 'months', 'error']",0,{'not_upd'},set(),[],0
358,1.0,44.0,359.0,"It was immediately noticeable that NIS slows down my computer (Pent4, 256 RAM).",immedi notic nis slow comput pent4 ram,"['nis computer', 'nis', 'computer']",-1,{'notic'},set(),[],0
359,1.0,44.0,360.0,I think it is a combination of the program size taking up resources and the open/close scanning that it does with every program.,think combin program size resourc open close scan doe everi program,['program'],-1,"{'open', 'close'}",set(),[],0
360,1.0,44.0,361.0,Is it necessary to scan my MS Money database when I close the program?,necessari scan ms money databas close program,"['program', 'money']",-1,{'necessari'},set(),['close program'],0
361,1.0,44.0,362.0,I'm not sure how it would have been compromised by a virus.,m not_sur compromis virus,['virus'],0,{'not_sur'},set(),[],0
362,1.0,45.0,363.0,"I have a modern PC with lots of speed and memory, but this firewall just brought it to a halt.",modern pc lot speed memori firewal brought halt,"['pc', 'memory', 'lot', 'firewall']",-1,{'modern'},{'modern'},['modern lots'],1
363,1.0,45.0,364.0,"Start up, log off, log on...everything became very slow.",start log log everyth becam veri slow,[],-1,{'slow'},set(),[],-1
364,1.0,45.0,365.0,Configuring it for a home network was almost impossible.,configur home network imposs,['home'],-1,{'imposs'},set(),[],0
365,1.0,45.0,366.0,Multiple users on one machine never seemed to behave like you'd expect.,multipl user machin not_seem behav like expect,['user'],-1,{'multipl'},set(),[],0
370,1.0,45.0,371.0,"I had tried to uninstall Norton Internet Security a few weeks ago, and it wouldn't let me do that either.",tri uninstal norton internet secur week ago not_let,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet']",-1,{'few'},set(),[],-1
371,1.0,45.0,372.0,"I tried it again this morning and it said I didn't have the required ""permissions"" and lacked proper administrator status.",tri morn said not_hav requir permiss lack proper administr status,[],-1,"{'proper', 'requir'}",set(),[],0
372,1.0,45.0,373.0,On my own home computer.,home comput,"['home computer', 'home', 'computer']",0,{'own'},set(),[],1
373,1.0,45.0,374.0,"Of course, if you try to reach Symantec customer service you get useless automated systems unless you want to pay $30 per incident.",cours tri reach symantec custom servic useless autom system want pay $ incid,"['system', 'symantec', 'service', 'customer']",-1,{'useless'},set(),['symantec service'],-1
374,1.0,45.0,375.0,"Meanwhile, the damn alert is still popping up every 20 seconds.",meanwhil damn alert pop everi second,[],0,{'damn'},set(),[],0
375,1.0,45.0,376.0,"Finally I ran msconfig and went into the ""services"" tab and unchecked every last Norton/Symantec ""service,"" then ran uninstall again.",final ran msconfig went servic tab uncheck everi norton symantec servic ran uninstal,"['symantec', 'service', 'norton']",0,"{'uninstal', 'last'}",set(),"['norton service', 'symantec service']",0
377,1.0,45.0,378.0,"I simply hate Symantec. I swear, if I could have physically ripped that software out of my computer with my bare, bleeding hands, I would have.",simpli hate symantec swear physic rip softwar comput bare bleed hand,"['software computer', 'symantec', 'software', 'computer']",-1,{'bare'},set(),['symantec swear'],1
